"Name","Status","DisplayName"
"AarSvc_5603e","Stopped","Agent Activation Runtime_5603e"
"AJRouter","Stopped","AllJoyn Router Service"
"ALG","Stopped","Application Layer Gateway Service"
"AMD External Events Utility","Running","AMD External Events Utility"
"AppIDSvc","Stopped","Application Identity"
"Appinfo","Running","Application Information"
"AppReadiness","Stopped","App Readiness"
"AppXSvc","Running","AppX Deployment Service (AppXSVC)"
"AudioEndpointBuilder","Running","Windows Audio Endpoint Builder"
"Audiosrv","Running","Windows Audio"
"autotimesvc","Stopped","Cellular Time"
"AxInstSV","Stopped","ActiveX Installer (AxInstSV)"
"BcastDVRUserService_5603e","Running","GameDVR and Broadcast User Service_5603e"
"BDESVC","Stopped","BitLocker Drive Encryption Service"
"BFE","Running","Base Filtering Engine"
"BITS","Stopped","Background Intelligent Transfer Service"
"BluetoothUserService_5603e","Stopped","Bluetooth User Support Service_5603e"
"BrokerInfrastructure","Running","Background Tasks Infrastructure Service"
"BTAGService","Stopped","Bluetooth Audio Gateway Service"
"BthAvctpSvc","Running","AVCTP service"
"bthserv","Stopped","Bluetooth Support Service"
"camsvc","Running","Capability Access Manager Service"
"CaptureService_5603e","Running","CaptureService_5603e"
"cbdhsvc_5603e","Running","Clipboard User Service_5603e"
"CDPSvc","Running","Connected Devices Platform Service"
"CDPUserSvc_5603e","Running","Connected Devices Platform User Service_5603e"
"CertPropSvc","Stopped","Certificate Propagation"
"ClickToRunSvc","Running","Microsoft Office Click-to-Run Service"
"ClipSVC","Stopped","Client License Service (ClipSVC)"
"COMSysApp","Stopped","COM+ System Application"
"ConsentUxUserSvc_5603e","Stopped","ConsentUX_5603e"
"CoreMessagingRegistrar","Running","CoreMessaging"
"CredentialEnrollmentManagerUserSvc_5603e","Stopped","CredentialEnrollmentManagerUserSvc_5603e"
"CryptSvc","Running","Cryptographic Services"
"DcomLaunch","Running","DCOM Server Process Launcher"
"dcsvc","Stopped","Declared Configuration(DC) service"
"defragsvc","Stopped","Optimise drives"
"DeviceAssociationBrokerSvc_5603e","Stopped","DeviceAssociationBroker_5603e"
"DeviceAssociationService","Running","Device Association Service"
"DeviceInstall","Stopped","Device Install Service"
"DevicePickerUserSvc_5603e","Stopped","DevicePicker_5603e"
"DevicesFlowUserSvc_5603e","Stopped","DevicesFlow_5603e"
"DevQueryBroker","Stopped","DevQuery Background Discovery Broker"
"Dhcp","Running","DHCP Client"
"diagnosticshub.standardcollector.service","Stopped","Microsoft (R) Diagnostics Hub Standard Collector Service"
"diagsvc","Stopped","Diagnostic Execution Service"
"DiagTrack","Running","Connected User Experiences and Telemetry"
"DispBrokerDesktopSvc","Running","Display Policy Service"
"DisplayEnhancementService","Running","Display Enhancement Service"
"DmEnrollmentSvc","Stopped","Device Management Enrollment Service"
"dmwappushservice","Stopped","Device Management Wireless Application Protocol (WAP) Push message Routing Service"
"Dnscache","Running","DNS Client"
"DolbyDAXAPI","Running","Dolby DAX API Service"
"DoSvc","Running","Delivery Optimization"
"dot3svc","Stopped","Wired AutoConfig"
"DPS","Running","Diagnostic Policy Service"
"DsmSvc","Stopped","Device Setup Manager"
"DsSvc","Running","Data Sharing Service"
"DusmSvc","Running","Data Usage"
"Eaphost","Stopped","Extensible Authentication Protocol"
"edgeupdate","Stopped","Microsoft Edge Update Service (edgeupdate)"
"edgeupdatem","Stopped","Microsoft Edge Update Service (edgeupdatem)"
"EFS","Running","Encrypting File System (EFS)"
"embeddedmode","Stopped","Embedded Mode"
"EntAppSvc","Stopped","Enterprise App Management Service"
"ETDService","Running","ELAN Service"
"EventLog","Running","Windows Event Log"
"EventSystem","Running","COM+ Event System"
"Fax","Stopped","Fax"
"fdPHost","Running","Function Discovery Provider Host"
"FDResPub","Running","Function Discovery Resource Publication"
"fhsvc","Stopped","File History Service"
"FMAPOService","Running","Fortemedia APO Control Service"
"FontCache","Running","Windows Font Cache Service"
"FrameServer","Stopped","Windows Camera Frame Server"
"GameInputSvc","Stopped","GameInput Service"
"gpsvc","Running","Group Policy Client"
"GraphicsPerfSvc","Stopped","GraphicsPerfSvc"
"hidserv","Stopped","Human Interface Device Service"
"HvHost","Stopped","HV Host Service"
"IBMPMSVC","Running","Lenovo PM Service"
"icssvc","Stopped","Windows Mobile Hotspot Service"
"IKEEXT","Stopped","IKE and AuthIP IPsec Keying Modules"
"InstallService","Running","Microsoft Store Install Service"
"iphlpsvc","Running","IP Helper"
"IpxlatCfgSvc","Stopped","IP Translation Configuration Service"
